2562,8288,Sasankasekhar Sanyal,Jangipur,West Bengal
2575,8330,Shanti Devi,"Sambhal, Sambhal",Uttar Pradesh
2577,8336,Bhagwat Dayal Sharma,Karnal,Haryana
2586,8996,P. Shiv Shanker,"Secunderabad, Secunderabad, Tenali","Gujarat, Gujarat"
2590,8616,Sikander Bakht,Chandni Chowk,"Madhya Pradesh, Madhya Pradesh"
2614,7201,Subramanian Swamy,"Bombay North East, Bombay North East, Madurai","Bhadrak, Uttar Pradesh, Uttar Pradesh"
2616,8471,Jagdev Singh Talwandi,Ludhiana,Punjab
2626,9273,Gurcharan Singh Tohra,Patiala,"Punjab, Punjab, Punjab, Punjab, Punjab"
2645,9085,Ram Naresh Yadav,Azamgarh,"Uttar Pradesh, Uttar Pradesh"
2649,8859,Nandi Yellaiah,"Siddipet, Siddipet, Siddipet, Siddipet, Siddipet, Nagarkurnool","Andhra Pradesh, Andhra Pradesh"
2653,8581,A.K.A. Abdul Samad,"Vellore, Vellore","Tamil Nadu, Tamil Nadu"
2654,8582,Farooq Abdullah,"Srinagar, Srinagar, Srinagar, Srinagar","Jammu and Kashmir, Jammu and Kashmir"
2664,9043,Tariq Anwar,"Katihar, Katihar, Katihar, Katihar, Katihar","Maharashtra, Maharashtra"
2668,8612,Kumbha Ram Arya,Sikar,"Rajasthan, Rajasthan"
2670,7009,Ghulam Nabi Azad,"Washim, Washim","Jammu and Kashmir, Jammu and Kashmir, Jammu and Kashmir, Jammu and Kashmir, Maharashtra"
2671,8707,Ghufran Azam,Betul,"Madhya Pradesh, Madhya Pradesh"
2677,8617,E. Balanandan,Mukundapuram,"Kerala, Kerala"
2680,8622,Bansi Lal,"Bhiwani, Bhiwani, Bhiwani","Punjab, Punjab"
2700,8657,Vidyawati Chaturvedi,"Khajuraho, Khajuraho","Madhya Pradesh, Madhya Pradesh"
2719,7508,Devi Lal,"Sonepat, Sikar",Haryana
2723,7527,Bindeshwari Dubey,Giridih,Bihar
2726,7050,Oscar Fernandes,"Udipi, Udipi, Udipi, Udipi, Udipi","Karnataka, Karnataka, Karnataka, Karnataka"
2736,8706,Niren Ghosh,Dumdum,"West Bengal, West Bengal"
2743,7586,Gulsher Ahmed,Satna,Vindhya Pradesh
2779,9151,P.J. Kurien,"Mavelikara, Idukki, Mavelikara, Mavelikara, Kottayam, Mavelikara","Kerala, Kerala, Kerala"
2780,7792,G. Lakshmanan,Madras North,Tamil Nadu
2782,7821,Mahabir Prasad,"Banasgaon, Banasgaon, Banasgaon, Bansgaon",Bihar
2784,7094,Mahendra Prasad,Jahanabad,"Bihar, Bihar, Bihar, Bihar, Bhadrak, Bihar, Bihar"
2804,9169,M. Rajasekara Murthy,Mysore,"Karnataka, Karnataka, Karnataka"
2832,8890,Ananda Pathak,"Darjeeling, Darjeeling, Darjeeling","West Bengal, West Bengal"
2838,8086,Veerendra Patil,"Bagalkot, Gulbarga",Karnataka
2839,8091,Jayanti Patnaik,"Cuttack, Cuttack, Berhampur",Orissa
2861,8181,Ranjit Singh,Chatra,Haryana
2864,8215,Harish Rawat,"Almora, Almora, Almora, Hardwar",Uttarakhand
2866,8244,Rizaq Ram,Sonepat,Haryana
2917,9218,Shibu Soren,"Dumka, Dumka, Dumka, Dumka, Dumka, Dumka, Dumka, Dumka","Jharkhand, Jharkhand, Bihar"
2924,8449,Sukhbuns Kaur,"Gurdaspur, Gurdaspur, Gurdaspur, Gurdaspur, Gurdaspur",Punjab
2973,9001,Arjun Singh,"South Delhi, Satna","Madhya Pradesh, Madhya Pradesh"
2978,7330,Balkavi Bairagi,Mandsaur,Madhya Pradesh
2981,7339,Vyjayantimala Bali,"Madras South, Madras South",Bhadrak
2992,9114,Narendra Budania,"Churu, Churu, Churu","Rajasthan, Rajasthan, Rajasthan"
2993,7429,Parag Chaliha,Jorhat,Assam
3007,8671,Bipinpal Das,Tezpur,"Assam, Assam"
3009,9128,Murli Deora,"Bombay South, Bombay South, Bombay South, Mumbai South","Maharashtra, Maharashtra, Maharashtra"
3014,7181,Digvijaya Singh,"Raigarh, Raigarh",Madhya Pradesh
3030,8712,Dinesh Goswami,Guwahati,"Assam, Assam"
