2645,9085,Ram Naresh Yadav,Azamgarh,"Uttar Pradesh, Uttar Pradesh",Yes
2649,8859,Nandi Yellaiah,"Siddipet, Siddipet, Siddipet, Siddipet, Siddipet, Nagarkurnool","Andhra Pradesh, Andhra Pradesh",Yes
2653,8581,A.K.A. Abdul Samad,"Vellore, Vellore","Tamil Nadu, Tamil Nadu",Yes
2654,8582,Farooq Abdullah,"Srinagar, Srinagar, Srinagar, Srinagar","Jammu and Kashmir, Jammu and Kashmir",Yes
2664,9043,Tariq Anwar,"Katihar, Katihar, Katihar, Katihar, Katihar","Maharashtra, Maharashtra",Yes
2668,8612,Kumbha Ram Arya,Sikar,"Rajasthan, Rajasthan",Yes
2670,7009,Ghulam Nabi Azad,"Washim, Washim","Jammu and Kashmir, Jammu and Kashmir, Jammu and Kashmir, Jammu and Kashmir, Maharashtra",Yes
2671,8707,Ghufran Azam,Betul,"Madhya Pradesh, Madhya Pradesh",Yes
2677,8617,E. Balanandan,Mukundapuram,"Kerala, Kerala",Yes
2680,8622,Bansi Lal,"Bhiwani, Bhiwani, Bhiwani","Punjab, Punjab",Yes
2700,8657,Vidyawati Chaturvedi,"Khajuraho, Khajuraho","Madhya Pradesh, Madhya Pradesh",Yes
2719,7508,Devi Lal,"Sonepat, Sikar",Haryana,Yes
2723,7527,Bindeshwari Dubey,Giridih,Bihar,Yes
2726,7050,Oscar Fernandes,"Udipi, Udipi, Udipi, Udipi, Udipi","Karnataka, Karnataka, Karnataka, Karnataka",Yes
2736,8706,Niren Ghosh,Dumdum,"West Bengal, West Bengal",Yes
2743,7586,Gulsher Ahmed,Satna,Vindhya Pradesh,Yes
2779,9151,P.J. Kurien,"Mavelikara, Idukki, Mavelikara, Mavelikara, Kottayam, Mavelikara","Kerala, Kerala, Kerala",Yes
2780,7792,G. Lakshmanan,Madras North,Tamil Nadu,Yes
2782,7821,Mahabir Prasad,"Banasgaon, Banasgaon, Banasgaon, Bansgaon",Bihar,Yes
2784,7094,Mahendra Prasad,Jahanabad,"Bihar, Bihar, Bihar, Bihar, Nominated, Bihar, Bihar",Yes
2804,9169,M. Rajasekara Murthy,Mysore,"Karnataka, Karnataka, Karnataka",Yes
2832,8890,Ananda Pathak,"Darjeeling, Darjeeling, Darjeeling","West Bengal, West Bengal",Yes
2838,8086,Veerendra Patil,"Bagalkot, Gulbarga",Karnataka,Yes
2839,8091,Jayanti Patnaik,"Cuttack, Cuttack, Berhampur",Orissa,Yes
2861,8181,Ranjit Singh,Chatra,Haryana,
2864,8215,Harish Rawat,"Almora, Almora, Almora, Hardwar",Uttarakhand,Yes
2866,8244,Rizaq Ram,Sonepat,Haryana,Yes
2917,9218,Shibu Soren,"Dumka, Dumka, Dumka, Dumka, Dumka, Dumka, Dumka, Dumka","Jharkhand, Jharkhand, Bihar",Yes
